nop                  0.071 ns/inst
add                  0.094 ns/inst
adc                  0.094 ns/inst
adds                 0.098 ns/inst
adcs                 0.313 ns/inst
mul                  0.981 ns/inst
umulh                1.315 ns/inst
div                  2.985 ns/inst
mul_umulh            1.148 ns/inst
mul_adcs_umulh_adcs  0.564 ns/inst
mul_adcs             0.480 ns/inst
mul_add_umulh_add    0.564 ns/inst
